Guild,Domain,Electron acceptor,Genera assigned,Genera detected,Genera
Methanotroph,Bacteria,CH4,16,11,Crenothrix; Methylacidiphilum; Methylobacter; Methylocaldum; Methylocapsa; Methylocella; Methylococcus; Methylocystis; Methyloferula; Methylomicrobium; Methylomonas; Methylosarcina; Methylosinus; Methylosphaera; Methylotuvimicrobium; Methylovulum
AOA (ammonia oxidiser),Archaea,O2,10,3,Candidatus Nitrosoarchaeum; Candidatus Nitrosocosmicus; Candidatus Nitrosopumilus; Candidatus Nitrososphaera; Candidatus Nitrosotalea; Candidatus Nitrosotenuis; Cenarchaeum; Nitrosopumilus; Nitrososphaera; Nitrosotalea
AOB (ammonia oxidiser),Bacteria,O2,5,3,Nitrosococcus; Nitrosolobus; Nitrosomonas; Nitrosospira; Nitrosovibrio
NOB (nitrite oxidiser),Bacteria,O2,6,4,Nitrobacter; Nitrococcus; Nitrolancea; Nitrospina; Nitrospira; Nitrotoga
Denitrifier / Rhodocyclales,Bacteria,NO3-,18,13,Aquincola; Aromatoleum; Azoarcus; Azonexus; Azospira; Dechloromonas; Denitratisoma; Georgfuchsia; Ideonella; Oryzomicrobium; Propionivibrio; Quatrionicoccus; Rhizobacter; Rhodocyclus; Sulfuritalea; Thauera; Uliginosibacterium; Zoogloea
Fe(III) reducer,Bacteria,Fe(III),9,8,Albidiferax; Anaeromyxobacter; Desulfuromonas; Ferribacterium; Geobacter; Geothrix; Pelobacter; Rhodoferax; Shewanella
Sulfate reducer,Bacteria,SO4 2-,15,13,Desulfarculus; Desulfatibacillum; Desulfatiglans; Desulfobacca; Desulfobacter; Desulfobacterium; Desulfobulbus; Desulfococcus; Desulfomicrobium; Desulfomonile; Desulfonema; Desulfosporosinus; Desulfotomaculum; Desulfovibrio; Syntrophobacter
Sulfur oxidiser,Bacteria,O2 / NO3-,12,11,Acidithiobacillus; Beggiatoa; Halothiobacillus; Sulfuricurvum; Sulfurimonas; Sulfuritortus; Sulfurovum; Thioalkalivibrio; Thiobacillus; Thiomonas; Thiothrix; Thiovirga
Methanogen (H2/CO2),Archaea,CO2,25,20,Candidatus Methanoflorens; Candidatus Methanoregula; Methanobacterium; Methanobrevibacter; Methanocalculus; Methanocaldococcus; Methanocella; Methanococcus; Methanocorpusculum; Methanoculleus; Methanofollis; Methanogenium; Methanolacinia; Methanolinea; Methanomicrobium; Methanoplanus; Methanoregula; Methanosarcina; Methanosphaera; Methanosphaerula; Methanospirillum; Methanothermobacter; Methanothermococcus; Methanothermus; Methanotorris
Methanogen (acetate),Archaea,acetate,2,1,Methanosaeta; Methanothrix
Methanogen (methyl),Archaea,methyl compounds,10,7,Candidatus Methanomassiliicoccales; Candidatus Methanomethylophilus; Methanococcoides; Methanohalobium; Methanohalophilus; Methanolobus; Methanomassiliicoccus; Methanomethylovorans; Methanosalsum; Methermicoccus
ANME (anaerobic methane ox.),Archaea,NO3- / SO4 2-,1,0,Candidatus Methanoperedens
Halophile (excluded),Archaea,n/a,24,23,Haladaptatus; Halalkalicoccus; Haloarcula; Halobacterium; Halobellus; Haloferax; Halogeometricum; Halogranum; Halolamina; Halomicrobium; Halopenitus; Halopiger; Haloquadratum; Halorhabdus; Halorubrum; Halosimplex; Haloterrigena; Halovenus; Halovivax; Natrialba; Natrinema; Natronococcus; Natronomonas; Salinarchaeum
Thermophile (excluded),Archaea,n/a,27,18,Acidianus; Aeropyrum; Archaeoglobus; Caldivirga; Cuniculiplasma; Desulfurococcus; Ferroglobus; Ferroplasma; Geoglobus; Hyperthermus; Ignicoccus; Metallosphaera; Palaeococcus; Picrophilus; Pyrobaculum; Pyrococcus; Pyrolobus; Saccharolobus; Staphylothermus; Stygiolobus; Sulfolobus; Sulfurisphaera; Thermococcus; Thermofilum; Thermoplasma; Thermoproteus; Vulcanisaeta
