Guild,Marker,KEGG KO,Detected in,Preserved (mean ± SD),Degraded (mean ± SD),Preserved median,Degraded median,log2FC,p,q
Ammonia / methane oxidation (shared),amoA / pmoA,K10944,14/14,5.71 ± 3.04,10.21 ± 5.06,5.54,9.19,0.84,0.0728,0.229
Ammonia / methane oxidation (shared),amoB / pmoB,K10945,14/14,7.11 ± 3.36,13.70 ± 9.90,6.12,11.2,0.95,0.0973,0.268
Ammonia / methane oxidation (shared),amoC / pmoC,K10946,14/14,9.94 ± 4.33,12.49 ± 4.09,9.04,11.82,0.33,0.2593,0.475
Ammonia / methane oxidation (shared),hao,K10535,14/14,3.28 ± 1.95,7.51 ± 3.22,2.63,6.9,1.19,0.0262,0.096
Denitrification,narG / nxrA,K00370,14/14,61.69 ± 10.20,86.24 ± 13.71,61.24,80.82,0.48,0.0023,0.017
Denitrification,napA,K02567,14/14,15.84 ± 4.40,25.55 ± 6.34,13.65,22.32,0.69,0.0175,0.077
Denitrification,nirK,K00368,14/14,48.84 ± 21.95,52.46 ± 5.89,41.68,54.6,0.1,0.3176,0.538
Denitrification,nirS,K15864,14/14,6.20 ± 2.73,14.04 ± 4.02,6.41,13.65,1.18,0.0023,0.017
Denitrification,norB,K04561,14/14,22.65 ± 9.35,26.74 ± 6.63,18.94,24.8,0.24,0.2086,0.459
Denitrification,nosZ,K00376,14/14,11.73 ± 3.39,21.08 ± 3.57,12.26,20.39,0.85,0.0012,0.017
Sulfate reduction,sat,K00958,14/14,22.57 ± 5.76,19.35 ± 6.26,23.74,18.37,-0.22,0.4557,0.716
Sulfate reduction,aprA,K00394,14/14,19.64 ± 8.42,21.28 ± 9.00,18.4,24.8,0.12,0.9015,0.992
Sulfate reduction,dsrA,K11180,13/14,6.00 ± 5.71,8.47 ± 5.11,4.08,6.13,0.5,0.2593,0.475
Sulfate reduction,dsrB,K11181,13/14,6.54 ± 5.37,6.53 ± 3.54,3.91,7.0,-0.0,1.0,1.0
Sulfur oxidation,soxB,K17224,14/14,19.42 ± 6.17,19.16 ± 5.23,19.58,17.85,-0.02,0.8048,0.932
Sulfur oxidation,fccB,K17229,14/14,6.77 ± 2.07,4.39 ± 0.96,6.8,4.18,-0.62,0.0175,0.077
Methanogenesis,fwdA,K00200,14/14,15.81 ± 3.86,16.27 ± 8.42,15.26,13.65,0.04,0.535,0.771
Methanogenesis,mtrA,K00577,12/14,1.30 ± 1.24,1.26 ± 0.85,0.87,1.53,-0.05,1.0,1.0
Methanogenesis,mcrA,K00399,10/14,1.37 ± 1.66,1.94 ± 2.18,0.56,1.31,0.51,0.561,0.771
Methanogenesis,mcrB,K00401,7/14,0.59 ± 1.14,1.54 ± 1.56,0.0,1.05,1.36,0.1724,0.422
Methanogenesis,mcrG,K00402,8/14,0.84 ± 1.21,0.91 ± 0.73,0.0,1.3,0.11,0.6899,0.843
Methanogenesis,mtaB,K04480,9/14,0.47 ± 0.51,0.36 ± 0.28,0.56,0.44,-0.4,0.6012,0.778
