sample,status,reads,q0_rarefied,q0_observed,q1,q2,shannon
Pres01,preserved,47956,1056.5,1337,114.41,12.88,4.74
Pres02,preserved,75493,1086.2,1508,102.31,10.79,4.628
Pres03,preserved,67440,1079.9,1454,109.72,11.58,4.698
Pres04,preserved,133351,1167.6,1735,191.75,31.89,5.256
Pres05,preserved,71263,1099.2,1512,126.39,14.78,4.839
Pres06,preserved,103292,1107.7,1597,133.48,18.85,4.894
Pres07,preserved,24864,1118.0,1118,69.49,13.39,4.241
Deg01,degraded,80417,1090.5,1528,128.81,15.71,4.858
Deg02,degraded,34533,1065.8,1271,209.13,47.88,5.343
Deg03,degraded,53936,1123.1,1455,184.23,34.39,5.216
Deg04,degraded,165144,1131.4,1767,179.88,44.12,5.192
Deg05,degraded,230720,1088.3,1825,204.88,76.74,5.322
Deg06,degraded,89520,1245.0,1699,221.74,47.47,5.402
Deg07,degraded,83867,1213.8,1677,188.84,25.93,5.241
