,archaeal_reads_total,excluded_reads,retained_reads,percent_excluded,percent_of_all_reads
Pres01,238.0,47.0,191.0,19.7,0.496
Pres02,208.0,66.0,142.0,31.7,0.276
Pres03,116.0,76.0,40.0,65.5,0.172
Pres04,457.0,144.0,313.0,31.5,0.343
Pres05,616.0,54.0,562.0,8.8,0.864
Pres06,705.0,100.0,605.0,14.2,0.683
Pres07,158.0,26.0,132.0,16.5,0.635
Deg01,251.0,97.0,154.0,38.6,0.312
Deg02,122.0,44.0,78.0,36.1,0.353
Deg03,217.0,59.0,158.0,27.2,0.402
Deg04,243.0,110.0,133.0,45.3,0.147
Deg05,709.0,140.0,569.0,19.7,0.307
Deg06,654.0,91.0,563.0,13.9,0.731
Deg07,385.0,65.0,320.0,16.9,0.459
