name,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Abiotrophia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0,0.00112,0.0
Abyssalbus,0.0,0.00132,0.0,0.00075,0.0,0.00097,0.0,0.0,0.0,0.00185,0.00182,0.0013,0.0,0.0
Abyssibius,0.00834,0.00927,0.00148,0.0075,0.00421,0.00581,0.01207,0.00249,0.0029,0.00185,0.00969,0.02297,0.00782,0.01669
Abyssicoccus,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.00124,0.0,0.00185,0.00061,0.0,0.0,0.0
Acadianvirus,0.0,0.0,0.00148,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acaryochloris,0.00209,0.00265,0.0,0.00075,0.0014,0.00097,0.00402,0.00124,0.0,0.0,0.00182,0.0013,0.00223,0.0
Acetivibrio,0.0,0.0,0.0,0.0,0.0,0.00194,0.0,0.00249,0.0,0.00185,0.00303,0.00217,0.00223,0.00119
Acetoanaerobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0
Acetobacter,0.02919,0.01854,0.02966,0.04424,0.02807,0.0426,0.02011,0.04974,0.01158,0.01854,0.03149,0.01474,0.02569,0.02146
Acetobacterium,0.00209,0.00132,0.0,0.0015,0.0014,0.00097,0.0,0.0,0.0,0.0,0.00061,0.0026,0.00894,0.00238
Acetobacteroides,0.00417,0.00265,0.00741,0.00225,0.00421,0.00484,0.0,0.00373,0.0,0.00371,0.00969,0.00954,0.00223,0.00477
Acetohalobium,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00119
Acetomicrobium,0.0,0.00132,0.0,0.0,0.0,0.0,0.00402,0.0,0.0029,0.0,0.0,0.0,0.0,0.00119
Acholeplasma,0.0,0.0,0.0,0.0,0.00421,0.0,0.0,0.0,0.0,0.00185,0.00061,0.0,0.0,0.0
Achromobacter,0.30236,0.29672,0.25356,0.47844,0.28065,0.26624,0.18098,0.29098,0.57626,0.43199,0.4045,0.26092,0.30273,0.37917
Acidaminococcus,0.00209,0.00132,0.00148,0.00225,0.0014,0.0,0.00402,0.00124,0.0,0.00185,0.00121,0.00217,0.00559,0.00119
Acidianus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00124,0.0,0.0,0.0,0.00087,0.00112,0.0
