name,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Bradyrhizobium,27.05397,29.80806,28.578,16.06587,24.91896,20.90675,14.5029,24.14788,11.69316,14.8602,12.07916,2.64086,11.18968,18.41129
Streptomyces,2.92768,2.56977,4.27195,3.41955,4.35429,6.73043,2.6464,3.69698,3.46046,2.81815,2.78969,2.8047,3.63159,2.50516
Mycobacterium,1.64526,0.81332,1.36121,1.25608,2.88368,4.12907,18.93501,2.95211,1.12067,1.04754,0.6237,0.89719,2.38382,0.77742
Anaeromyxobacter,1.83084,1.2531,0.24021,0.49718,0.95,0.36886,0.9009,1.52331,4.15255,4.20869,1.14203,0.88029,4.1097,2.45985
Pseudomonas,1.50138,1.39483,1.65184,1.88,1.48183,1.77458,1.22667,1.44497,1.81565,2.00237,1.62706,1.39823,2.43744,1.79928
Variovorax,1.53891,1.56438,1.11358,1.85825,1.01595,0.78903,0.45447,1.36165,1.61585,1.9449,2.73822,1.30331,1.02547,1.76828
Nocardioides,0.88414,0.87425,1.27076,0.90588,1.00754,1.24889,0.61535,1.80061,2.056,2.26565,1.54713,1.23916,1.52703,0.86566
Mycolicibacterium,0.72149,0.75636,1.207,0.80389,1.00052,1.1937,1.6369,0.97616,1.46527,2.28233,0.75449,2.45016,0.72498,0.78219
Mesorhizobium,1.24281,1.31138,1.62367,1.23434,1.54498,1.29245,1.13417,1.3231,0.889,0.77685,0.87197,0.78667,1.08244,1.23767
Methylocystis,0.26691,0.25168,0.27432,1.31533,1.85791,1.87914,3.16522,0.76974,1.60716,0.94,0.15441,1.27514,1.60634,0.76669
Burkholderia,1.09684,1.5008,1.09875,1.39781,0.80968,0.7503,0.69579,1.11668,1.24229,1.20328,1.0179,1.71897,1.01988,1.08267
Hydrogenophaga,0.80907,1.08089,0.47005,1.59204,0.58656,0.47729,0.32175,0.73865,1.15831,1.09389,2.36703,1.46411,0.79982,1.25914
Polynucleobacter,0.03545,0.06623,0.01928,0.80614,0.05332,0.04163,12.00129,0.11192,0.04054,0.09641,0.07206,0.1413,0.1441,0.31001
Sphingomonas,0.79448,0.92326,0.90896,1.53055,0.85598,0.76095,0.66361,0.97989,1.12067,0.89551,0.88044,1.09223,0.62221,0.98966
Rhizobium,1.06556,1.05175,1.24259,0.88638,1.037,0.99814,0.71187,1.06445,0.81082,0.68414,0.79991,0.60506,0.91935,0.93601
Rhodoferax,0.6214,1.39086,0.20611,1.28608,0.56691,0.34078,0.2574,0.47627,0.63707,1.00304,2.06244,1.16418,0.48481,1.42011
Roseateles,0.75069,0.69543,0.49377,1.04536,0.43922,0.31077,0.16892,0.75482,1.03379,1.17547,2.07576,0.89632,0.77748,0.97416
Cupriavidus,0.84244,0.66761,0.75474,0.97862,0.60901,0.70383,0.50273,0.82197,1.08013,0.98635,0.98278,0.56562,0.81323,0.80962
Acidovorax,0.41496,0.9683,0.23577,0.89763,0.39151,0.32916,0.19707,0.3171,0.50966,0.66931,1.35458,2.87968,0.41108,0.76311
Rhodopseudomonas,0.89248,0.92326,0.82295,0.59467,0.97386,0.83162,0.76818,0.85803,0.50966,0.51543,0.31851,0.1439,0.62556,0.70826
Other,53.06322,50.13445,52.15451,59.74833,52.66127,54.14262,38.4934,52.76372,61.98129,58.53048,63.74074,73.65291,63.66399,59.37377
