guild,predictor,rho,p,group_q,q
AOA (ammonia oxidiser),Land use intensity (PC1),-0.3494505494505495,0.22068999774644735,0.0577,0.3034487469013651
NOB (nitrite oxidiser),Land use intensity (PC1),-0.07692307692307693,0.7938058883554534,1.0,0.9114890652214733
Methanogen (methyl),Land use intensity (PC1),-0.06373626373626373,0.8286264229286121,0.7814,0.9114890652214733
Methanotroph,Land use intensity (PC1),0.01978021978021978,0.9464892274080116,0.7814,0.9464892274080117
Sulfate reducer,Land use intensity (PC1),0.3494505494505495,0.22068999774644735,0.235,0.3034487469013651
Methanogen (acetate),Land use intensity (PC1),0.3626373626373627,0.2025645438172416,0.0481,0.3034487469013651
Methanogen (H2/CO2),Land use intensity (PC1),0.3934065934065934,0.16403157340077776,0.0481,0.3034487469013651
Sulfur oxidiser,Land use intensity (PC1),0.4813186813186813,0.08141829504280486,0.2869,0.22390031136771335
AOB (ammonia oxidiser),Land use intensity (PC1),0.5956043956043956,0.02461261079528686,0.2869,0.09024623958271849
Denitrifier / Rhodocyclales,Land use intensity (PC1),0.8505494505494505,0.00011565615890988969,0.0064,0.0006361088740043933
Fe(III) reducer,Land use intensity (PC1),0.8725274725274725,4.680621207250763e-05,0.0128,0.0005148683327975839
