,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Methanotroph,0.6853,0.6283,0.6342,1.97,2.763,2.7869,4.1569,1.3934,2.598,2.2115,0.8514,1.7486,9.089,2.2807
AOA (ammonia oxidiser),89.0052,85.9155,70.0,92.0128,47.331,74.0496,55.303,33.7662,2.5641,30.3797,36.8421,0.1757,88.8099,56.25
AOB (ammonia oxidiser),0.0356,0.0465,0.0401,0.0662,0.0453,0.0478,0.0405,0.0412,0.0349,0.0484,0.0503,0.0861,0.1564,0.0611
NOB (nitrite oxidiser),0.5952,0.344,0.609,0.4267,0.3256,0.2671,0.2793,0.4441,0.4156,0.3984,0.3087,0.0717,0.3466,0.5295
Denitrifier / Rhodocyclales,1.6975,1.3456,1.3532,2.0678,1.1168,0.889,0.9714,2.0932,4.7863,4.1717,6.4712,5.678,2.2933,2.4496
Fe(III) reducer,3.001,4.0513,0.6536,2.0904,2.2888,1.1122,1.6474,2.5634,6.4514,6.6029,5.2535,4.9185,5.335,4.9088
Sulfate reducer,0.1153,0.0731,0.0668,0.0602,0.1019,0.0946,0.1295,0.0898,0.1686,0.1396,0.0952,0.0691,0.1452,0.1653
Sulfur oxidiser,0.3416,0.2577,0.2792,0.386,0.3015,0.309,0.2186,0.2844,0.4882,0.4282,0.3069,0.2287,0.5885,0.3821
Methanogen (H2/CO2),8.377,10.5634,27.5,6.3898,48.2206,21.8182,35.6061,56.4935,67.9487,59.4937,56.391,94.0246,9.2362,37.8125
Methanogen (acetate),1.0471,0.7042,0.0,0.639,3.7367,3.1405,8.3333,8.4416,26.9231,8.8608,4.5113,5.4482,1.0657,5.625
Methanogen (methyl),1.5707,2.8169,2.5,0.9585,0.7117,0.9917,0.7576,1.2987,2.5641,1.2658,2.2556,0.3515,0.8881,0.3125
ANME (anaerobic methane ox.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
