guild,metric,rho,p
Methanotroph,Forest.cover,0.07252747252747253,0.8053763135410923
Methanotroph,Cropland.cover,-0.14285714285714285,0.6261174762253241
Methanotroph,Urban.cover,0.490517086384953,0.0749413256393514
Methanotroph,HFP,0.3186813186813187,0.26678496081136144
Methanotroph,Diversity_q1,-0.23956043956043957,0.4094298928517327
Methanotroph,Elevacao,-0.3414105198309057,0.23222020577320726
AOA (ammonia oxidiser),Forest.cover,0.3406593406593406,0.23331605103682382
AOA (ammonia oxidiser),Cropland.cover,-0.3494505494505495,0.22068999774644735
AOA (ammonia oxidiser),Urban.cover,0.10561372673360232,0.7193447620171671
AOA (ammonia oxidiser),HFP,-0.5824175824175825,0.028854655357671767
AOA (ammonia oxidiser),Diversity_q1,0.0945054945054945,0.7479382611415479
AOA (ammonia oxidiser),Elevacao,-0.3436131683459438,0.22902522071684897
AOB (ammonia oxidiser),Forest.cover,-0.4945054945054946,0.07224967403413254
AOB (ammonia oxidiser),Cropland.cover,0.4197802197802198,0.13510107382914258
AOB (ammonia oxidiser),Urban.cover,0.47174131274342374,0.08857048167589829
AOB (ammonia oxidiser),HFP,0.5428571428571429,0.04486396643924868
AOB (ammonia oxidiser),Diversity_q1,-0.3318681318681319,0.24637718314961166
AOB (ammonia oxidiser),Elevacao,0.050660915845876335,0.8634441400091892
NOB (nitrite oxidiser),Forest.cover,-0.02857142857142857,0.9227613765698747
NOB (nitrite oxidiser),Cropland.cover,0.14285714285714285,0.6261174762253241
NOB (nitrite oxidiser),Urban.cover,-0.3731685011253949,0.1887870656720063
NOB (nitrite oxidiser),HFP,-0.2,0.49300373504
NOB (nitrite oxidiser),Diversity_q1,0.5736263736263736,0.03197081397639697
NOB (nitrite oxidiser),Elevacao,-0.3392078713158676,0.23544250342973233
Denitrifier / Rhodocyclales,Forest.cover,-0.8813186813186813,3.109511008397837e-05
Denitrifier / Rhodocyclales,Cropland.cover,0.8593406593406594,8.200994666805763e-05
Denitrifier / Rhodocyclales,Urban.cover,0.0633682360401614,0.82960272824567
Denitrifier / Rhodocyclales,HFP,0.7274725274725276,0.0031906163189881495
Denitrifier / Rhodocyclales,Diversity_q1,-0.2835164835164835,0.32596594744177293
Denitrifier / Rhodocyclales,Elevacao,0.06167415842106685,0.8340997125071553
Fe(III) reducer,Forest.cover,-0.8945054945054945,1.5798308486800476e-05
Fe(III) reducer,Cropland.cover,0.8065934065934066,0.0004911128961691058
Fe(III) reducer,Urban.cover,0.2135744251723958,0.46347163267887126
Fe(III) reducer,HFP,0.6615384615384616,0.009975179240423713
Fe(III) reducer,Diversity_q1,-0.2923076923076923,0.310526320385882
Fe(III) reducer,Elevacao,-0.23568339110907688,0.41727836223227616
Sulfate reducer,Forest.cover,-0.389010989010989,0.16921738979769022
Sulfate reducer,Cropland.cover,0.4021978021978022,0.1539744295414035
Sulfate reducer,Urban.cover,0.18541076471010187,0.5256869160832673
Sulfate reducer,HFP,0.2703296703296703,0.34991938634960434
Sulfate reducer,Diversity_q1,0.0945054945054945,0.7479382611415479
Sulfate reducer,Elevacao,-0.6189442327257064,0.018273025072749933
Sulfur oxidiser,Forest.cover,-0.43736263736263736,0.11784483174447688
Sulfur oxidiser,Cropland.cover,0.3626373626373627,0.2025645438172416
Sulfur oxidiser,Urban.cover,0.3590866708942479,0.2073491958709748
Sulfur oxidiser,HFP,0.3010989010989011,0.2955144656072167
Sulfur oxidiser,Diversity_q1,-0.1384615384615385,0.6368849912650185
Sulfur oxidiser,Elevacao,-0.6409707178760875,0.013506541979064863
Methanogen (H2/CO2),Forest.cover,-0.3802197802197802,0.17990614630608132
Methanogen (H2/CO2),Cropland.cover,0.39780219780219783,0.1589507745108346
Methanogen (H2/CO2),Urban.cover,-0.12908344378551395,0.6600794089942694
Methanogen (H2/CO2),HFP,0.5956043956043956,0.02461261079528686
Methanogen (H2/CO2),Diversity_q1,-0.07252747252747253,0.8053763135410923
Methanogen (H2/CO2),Elevacao,0.30616814359029615,0.2870538443209753
Methanogen (acetate),Forest.cover,-0.35824175824175825,0.20849812479076704
Methanogen (acetate),Cropland.cover,0.3934065934065934,0.16403157340077776
Methanogen (acetate),Urban.cover,-0.007040915115573488,0.9809415974741451
Methanogen (acetate),HFP,0.5340659340659341,0.04915991637198507
Methanogen (acetate),Diversity_q1,0.02417582417582418,0.9346189946036425
Methanogen (acetate),Elevacao,0.08810594060152406,0.7645516079160108
Methanogen (methyl),Forest.cover,0.006593406593406593,0.9821527354577906
Methanogen (methyl),Cropland.cover,0.002197802197802198,0.9940505286658997
Methanogen (methyl),Urban.cover,-0.2323501988139251,0.42408690369857
Methanogen (methyl),HFP,-0.3406593406593406,0.23331605103682382
Methanogen (methyl),Diversity_q1,-0.002197802197802198,0.9940505286658997
Methanogen (methyl),Elevacao,0.0022026485150381013,0.9940374098512399
