sample,PC1,Forest.cover,Cropland.cover,Urban.cover,Diversity_q1
Pres01,-1.2838577137333445,95.90316574,4.096834264,0.0,12.71851299
Pres02,-1.046753777626975,92.84910965,7.15089035,0.0,11.84497849
Pres03,-1.3398691063689336,96.27238806,3.727611942,0.0,13.16003345
Pres04,-1.139383579489606,96.13034623,2.545824847,1.323828921,10.99322826
Pres05,-1.1827392988732726,96.13152805,0.386847195,3.481624758,11.85270465
Pres06,-1.3141970629843227,98.95528069,0.755737393,0.288981922,11.09741791
Pres07,-1.3487838647953159,98.43968872,0.809338521,0.750972763,11.93665056
Deg01,-0.658486399739487,84.22035481,15.77964519,0.0,12.836404
Deg02,0.0195679230880518,76.10536218,23.89463782,0.0,9.925204692
Deg03,2.1122286220988995,37.78611632,42.13883677,20.0750469,12.85133839
Deg04,2.96526332560511,27.11340206,42.89597001,29.99062793,11.00420602
Deg05,0.3806884109587144,70.15902713,29.84097287,0.0,9.459249558
Deg06,2.9325575713158707,29.06542056,35.3271028,35.60747664,10.95576251
Deg07,0.9037649505446123,54.43609023,45.56390977,0.0,13.53096473
