,Pres07,Pres03,Pres06,Pres01,Pres05,Pres04,Pres02,Deg01,Deg02,Deg05,Deg07,Deg03,Deg06,Deg04
amoA / pmoA,8.165,2.986,10.171,2.628,7.714,5.538,2.792,7.875,10.44,4.24,9.19,14.226,19.152,6.318
amoB / pmoB,10.887,4.778,9.779,5.256,10.682,6.121,2.234,7.35,10.44,3.769,14.441,14.226,34.473,11.2
amoC / pmoC,13.609,8.958,11.344,6.132,16.616,9.035,3.909,9.975,15.66,6.36,11.815,14.226,18.769,10.626
hao,4.083,2.389,3.129,2.628,1.78,7.287,1.675,2.625,11.745,4.711,10.502,9.205,6.895,6.892
narG / nxrA,61.241,51.956,65.327,65.702,78.925,61.208,47.468,80.321,101.792,74.902,88.396,107.117,80.82,70.36
napA,12.248,20.305,11.735,18.397,13.649,12.242,22.338,21.524,33.931,21.67,22.318,34.311,18.386,26.708
nirK,31.301,75.246,27.383,83.222,35.012,41.68,48.026,54.597,53.506,45.459,57.326,57.743,42.9,55.713
nirS,8.165,3.583,2.738,10.512,4.747,6.412,7.26,13.649,15.66,18.372,9.627,19.248,8.81,12.923
norB,38.106,12.541,22.688,15.768,32.638,18.945,17.87,20.999,24.795,28.029,28.444,23.432,40.218,21.251
nosZ,13.609,13.138,9.388,12.264,5.934,16.614,11.169,19.949,24.795,23.79,17.066,25.105,16.47,20.39
sat,19.053,25.679,30.512,27.157,23.737,14.573,17.312,18.374,19.575,9.186,28.882,17.574,24.897,16.944
aprA,29.94,11.944,21.906,18.397,30.858,9.327,15.078,24.149,24.795,6.124,29.757,26.779,26.429,10.913
dsrA,14.97,0.0,9.388,1.752,10.682,4.081,1.117,3.15,15.66,5.417,6.126,15.063,9.576,4.308
dsrB,12.248,0.0,10.171,3.504,13.649,2.332,3.909,1.575,7.83,5.182,7.002,10.879,10.342,2.872
soxB,24.496,12.541,10.562,18.397,19.583,23.026,27.364,17.849,26.1,20.021,17.504,17.574,10.342,24.698
fccB,6.805,10.152,4.303,7.884,7.714,4.372,6.143,4.725,3.915,5.889,5.251,4.184,3.064,3.733
fwdA,19.053,14.93,15.256,19.273,20.176,11.367,10.61,13.649,10.44,7.302,13.566,18.411,33.324,17.231
mtrA,2.722,0.597,1.956,0.0,2.967,0.874,0.0,1.575,2.61,0.236,0.875,1.674,1.532,0.287
mcrA,4.083,0.0,1.956,0.0,2.967,0.0,0.558,2.625,6.525,0.707,1.313,1.674,0.766,0.0
mcrB,0.0,0.0,1.174,0.0,2.967,0.0,0.0,1.05,3.915,0.707,1.75,3.347,0.0,0.0
mcrG,2.722,0.0,0.782,0.0,2.374,0.0,0.0,1.575,1.305,0.471,1.313,1.674,0.0,0.0
mtaB,1.361,0.0,0.782,0.0,0.593,0.0,0.558,0.525,0.0,0.471,0.438,0.0,0.766,0.287
